,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.address,extra.last_updated,extra.renting,extra.returning,extra.uid,extra.bike_uids,extra.number,extra.slots,Dist from Coit
17,6.0,9.0,austin,30.28576,-97.74181,Guadalupe/West Mall @ University Co-op,2021-02-26T20:51:24.450000Z,2242 Guadalupe St.,1614372684.0,1.0,1.0,bcycle_austin_2548,,,,32.181038
18,4.0,8.0,austin,30.26217,-97.72743,Plaza Saltillo,2021-02-26T20:51:24.456000Z,1501 E. 5th St.,1614372684.0,1.0,1.0,bcycle_austin_2542,,,,32.219008
19,7.0,12.0,austin,30.27466,-97.77028,Veterans/Atlanta @ MoPac Ped Bridge,2021-02-26T20:51:24.489000Z,2105 Veterans Dr.,1614372684.0,1.0,1.0,bcycle_austin_3377,,,,32.163668
20,10.0,3.0,austin,30.28395,-97.74198,21st/Guadalupe,2021-02-26T20:51:24.458000Z,2100 Guadalupe St.,1614372684.0,1.0,1.0,bcycle_austin_2547,,,,32.182677999999996
21,4.0,9.0,austin,30.26139,-97.77234,Hollow Creek/Barton Hills,2021-02-26T20:51:24.459000Z,1106 Hollow Creek Dr,1614372684.0,1.0,1.0,bcycle_austin_4058,,,,32.174878
22,6.0,13.0,austin,30.26019,-97.73845,Rainey/Davis,2021-02-26T20:51:24.460000Z,698 Davis St.,1614372684.0,1.0,1.0,bcycle_austin_2563,,,,32.209967999999996
23,4.0,9.0,austin,30.26912,-97.73986,8th/San Jacinto,2021-02-26T20:51:24.452000Z,782 San Jacinto Blvd.,1614372684.0,1.0,1.0,bcycle_austin_2562,,,,32.199628000000004
24,4.0,9.0,austin,30.27336,-97.73805,12th/San Jacinto @ State Capitol Visitors Garage,2021-02-26T20:51:24.464000Z,1201 San Jacinto Blvd.,1614372684.0,1.0,1.0,bcycle_austin_2561,,,,32.197198
25,4.0,9.0,austin,30.28728,-97.74495,23rd/Rio Grande,2021-02-26T20:51:24.472000Z,2308 Rio Grande St. ,1614372684.0,1.0,1.0,bcycle_austin_3841,,,,32.176378
26,3.0,12.0,austin,30.25971,-97.75346,Barton Springs/Bouldin @ Palmer Auditorium,2021-02-26T20:51:24.477000Z,900 Barton Springs Rd.,1614372684.0,1.0,1.0,bcycle_austin_2567,,,,32.195437999999996
27,3.0,8.0,austin,30.26735,-97.73933,6th/Trinity,2021-02-26T20:51:24.476000Z,606 Trinity Street,1614372684.0,1.0,1.0,bcycle_austin_2565,,,,32.201928
28,4.0,7.0,austin,30.26968,-97.73074,East 11th/San Marcos,2021-02-26T20:51:24.478000Z,1001 E. 11th St.,1614372684.0,1.0,1.0,bcycle_austin_2569,,,,32.208188
29,3.0,8.0,austin,30.26896,-97.72843,East 11th/Victory Grill,2021-02-26T20:51:24.479000Z,1106 E. 11th St.,1614372684.0,1.0,1.0,bcycle_austin_2568,,,,32.211217999999995
30,6.0,16.0,austin,30.2856,-97.7335,23rd/San Jacinto @ DKR Stadium,2021-02-26T20:51:24.480000Z,E. 23rd St.,1614372684.0,1.0,1.0,bcycle_austin_3799,,,,32.18950799999999
31,1.0,10.0,austin,30.26697,-97.74929,3rd/Nueces,2021-02-26T20:51:24.482000Z,311 Nueces St.,1614372684.0,0.0,0.0,bcycle_austin_3621,,,,32.192347999999996
32,8.0,9.0,austin,30.25579,-97.73982,Rainey/Cummings,2021-02-26T20:51:24.483000Z,1 Rainey St,1614372684.0,1.0,1.0,bcycle_austin_2707,,,,32.212998
33,4.0,5.0,austin,30.25103,-97.74926,South Congress/James,2021-02-26T20:51:24.484000Z,1300 South Congress Ave,1614372684.0,1.0,1.0,bcycle_austin_2503,,,,32.20831799999999
34,5.0,8.0,austin,30.26638,-97.7214,11th/Salina ,2021-02-26T20:51:24.486000Z,1705 E 11th St,1614372684.0,1.0,1.0,bcycle_austin_4055,,,,32.220828
35,6.0,7.0,austin,30.27024,-97.73578,10th/Red River,2021-02-26T20:51:24.490000Z,699 East 10th Street,1614372684.0,1.0,1.0,bcycle_austin_4051,,,,32.20258799999999
36,3.0,10.0,austin,30.27489,-97.76483,5th/Campbell,2021-02-26T20:51:24.491000Z,1611 W 5th St,1614372684.0,1.0,1.0,bcycle_austin_4050,,,,32.168887999999995
37,9.0,10.0,austin,30.2898,-97.74041,Dean Keeton/Whitis,2021-02-26T20:51:24.492000Z,300 W. Dean Keeton St.,1614372684.0,1.0,1.0,bcycle_austin_3795,,,,32.178398
38,5.0,7.0,austin,30.26889,-97.74525,6th/Lavaca,2021-02-26T20:51:24.496000Z,601 Lavaca St.,1614372684.0,1.0,1.0,bcycle_austin_3294,,,,32.194468
39,6.0,7.0,austin,30.26766,-97.74162,6th/Brazos,2021-02-26T20:51:24.497000Z,584 Brazos St.,1614372684.0,1.0,1.0,bcycle_austin_3390,,,,32.199328
40,4.0,5.0,austin,30.25968,-97.72308,East 4th/Chicon,2021-02-26T20:51:24.498000Z,1819 East 4th St.,1614372684.0,1.0,1.0,bcycle_austin_3292,,,,32.225848
41,6.0,4.0,austin,30.25542,-97.71665,East 2nd/Pedernales,2021-02-26T20:51:24.500000Z,2414 E 2nd St,1614372684.0,1.0,1.0,bcycle_austin_3293,,,,32.236537999999996
42,5.0,8.0,austin,30.29068,-97.74292,26th/Nueces,2021-02-26T20:51:24.501000Z,600 W. 26th,1614372684.0,1.0,1.0,bcycle_austin_3838,,,,32.175008000000005
43,6.0,5.0,austin,30.27193,-97.73854,11th/San Jacinto,2021-02-26T20:51:24.502000Z,310 E. 11th St.,1614372684.0,1.0,1.0,bcycle_austin_3291,,,,32.198138
44,5.0,11.0,austin,30.262,-97.76118,Barton Springs/Kinney,2021-02-26T20:51:24.503000Z,1530 Barton Springs Road,1614372684.0,1.0,1.0,bcycle_austin_2711,,,,32.185428
45,4.0,7.0,austin,30.26455,-97.73165,East 6th/Medina,2021-02-26T20:51:24.504000Z,590 Medina St.,1614372684.0,1.0,1.0,bcycle_austin_3660,,,,32.212407999999996
46,6.0,6.0,austin,30.2678,-97.75189,3rd/West,2021-02-26T20:51:24.508000Z,652 W. 3rd St,1614372684.0,1.0,1.0,bcycle_austin_2552,,,,32.188917999999994
47,4.0,11.0,austin,30.26446,-97.75665,Riverside/South Lamar,2021-02-26T20:51:24.509000Z,Presented by Austin Parks Foundation,1614372684.0,1.0,1.0,bcycle_austin_2575,,,,32.187498000000005
48,5.0,8.0,austin,30.2853,-97.7467,22nd/Pearl,2021-02-26T20:51:24.516000Z,900 W. 22nd,1614372684.0,1.0,1.0,bcycle_austin_3792,,,,32.176607999999995
49,5.0,5.0,austin,30.25222,-97.74881,South Congress/Academy,2021-02-26T20:51:24.517000Z,1199 S. Congress Ave.,1614372684.0,1.0,1.0,bcycle_austin_2570,,,,32.20757799999999
50,5.0,8.0,austin,30.26854,-97.73646,8th/Red River,2021-02-26T20:51:24.518000Z,761 Red River St.,1614372684.0,1.0,1.0,bcycle_austin_2571,,,,32.203608
51,2.0,11.0,austin,30.26269,-97.72438,6th/Chalmers ,2021-02-26T20:51:24.522000Z,639 Chalmers Avenue,1614372684.0,1.0,1.0,bcycle_austin_4057,,,,32.221538
52,4.0,8.0,austin,30.26426,-97.74023,3rd/Trinity @ The Convention Center,2021-02-26T20:51:24.523000Z,212 Trinity,1614372684.0,1.0,1.0,bcycle_austin_2539,,,,32.204118
53,4.0,14.0,austin,30.24258,-97.71726,Lakeshore/Pleasant Valley,2021-02-26T20:51:24.524000Z,2525 South Lakeshore Boulevard,1614372684.0,1.0,1.0,bcycle_austin_4062,,,,32.248768
54,3.0,8.0,austin,30.26822,-97.74285,6th/Congress,2021-02-26T20:51:24.536000Z,600 Congress Ave.,1614372684.0,1.0,1.0,bcycle_austin_3619,,,,32.197537999999994
55,6.0,7.0,austin,30.26032,-97.71899,East 6th/Robert T. Martinez,2021-02-26T20:51:24.537000Z,2120 East 6th St,1614372684.0,1.0,1.0,bcycle_austin_2822,,,,32.22929799999999
56,4.0,9.0,austin,30.2563,-97.71007,East 5th/Broadway @ Capital Metro HQ,2021-02-26T20:51:24.539000Z,2910 E 5th St,1614372684.0,1.0,1.0,bcycle_austin_2823,,,,32.242238
57,4.0,9.0,austin,30.27041,-97.75046,6th/West,2021-02-26T20:51:24.540000Z,603 West Ave.,1614372684.0,1.0,1.0,bcycle_austin_2537,,,,32.187737999999996
58,3.0,8.0,austin,30.25895,-97.71475,East 6th/Pedernales,2021-02-26T20:51:24.457000Z,2498 E. 6th St.,1614372684.0,1.0,1.0,bcycle_austin_2544,,,,32.234908000000004
59,2.0,11.0,austin,30.24891,-97.75019,South Congress/Elizabeth,2021-02-26T20:51:24.461000Z,101 Elizabeth St. W,1614372684.0,1.0,1.0,bcycle_austin_2504,,,,32.209508
60,3.0,14.0,austin,30.2659,-97.76822,Zilker Park,2021-02-26T20:51:24.451000Z,Barton Springs & William Barton Drive,1614372684.0,1.0,1.0,bcycle_austin_2574,,,,32.174488
61,7.0,6.0,austin,30.26452,-97.7712,Barton Springs Pool,2021-02-26T20:51:24.519000Z,2200 William Barton Dr.,1614372684.0,1.0,1.0,bcycle_austin_2572,,,,32.172888
62,5.0,8.0,austin,30.29439,-97.78375,Lake Austin/Enfield,2021-02-26T20:51:24.437000Z,3825 Lake Austin Blvd,1614372684.0,1.0,1.0,bcycle_austin_3791,,,,32.130468
63,5.0,6.0,austin,30.26888,-97.72431,Rosewood/Angelina,2021-02-26T20:51:24.495000Z,1153 Angelina Street,1614372684.0,1.0,1.0,bcycle_austin_4052,,,,32.215418
64,6.0,7.0,austin,30.26969,-97.71873,Rosewood/Chicon,2021-02-26T20:51:24.488000Z,1909 Rosewood Avenue,1614372684.0,1.0,1.0,bcycle_austin_4054,,,,32.22018800000001
65,7.0,10.0,austin,30.26724,-97.74708,4th/Guadalupe @ Republic Square,2021-02-26T20:51:24.430000Z,401 W. 5th St.,1614372684.0,1.0,1.0,bcycle_austin_3455,,,,32.194288
66,9.0,8.0,austin,30.26438,-97.73657,4th/Sabine,2021-02-26T20:51:24.527000Z,702 E 4th St.,1614372684.0,1.0,1.0,bcycle_austin_3794,,,,32.207657999999995
67,5.0,12.0,austin,30.2896,-97.7366,Dean Keeton/Speedway,2021-02-26T20:51:24.434000Z,200 E Dean Keeton St,1614372684.0,1.0,1.0,bcycle_austin_2498,,,,32.182408
68,5.0,8.0,austin,30.25197,-97.73446,Nash Hernandez/East @ RBJ South,2021-02-26T20:51:24.453000Z,1400 Nash Hernandez Senior Rd,1614372684.0,1.0,1.0,bcycle_austin_4059,,,,32.222178
69,6.0,9.0,austin,30.2692,-97.7535,5th/Bowie,2021-02-26T20:51:24.473000Z,Presented by Whole Foods Market,1614372684.0,1.0,1.0,bcycle_austin_2501,,,,32.185908
70,5.0,14.0,austin,30.26714,-97.75485,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2021-02-26T20:51:24.475000Z,Presented by Austin Parks Foundation,1614372684.0,1.0,1.0,bcycle_austin_2566,,,,32.186617999999996
71,10.0,12.0,austin,30.28298,-97.73739,21st/Speedway @ PCL,2021-02-26T20:51:24.485000Z,E. 21st St.,1614372684.0,1.0,1.0,bcycle_austin_3798,,,,32.188238
72,5.0,6.0,austin,30.26332,-97.74508,Cesar Chavez/Congress,2021-02-26T20:51:24.521000Z,124 W Cesar Chavez St,1614372684.0,1.0,1.0,bcycle_austin_3684,,,,32.200207999999996
73,4.0,6.0,austin,30.25212,-97.69807,East 5th/Shady @ Eastside Bus Plaza,2021-02-26T20:51:24.425000Z,5104 East 5th. Street,1614372684.0,1.0,1.0,bcycle_austin_4699,,,,32.25841799999999
74,5.0,7.0,austin,30.27924,-97.74371,16th/San Antonio,2021-02-26T20:51:24.529000Z,1601 San Antonio Street,1614372684.0,1.0,1.0,bcycle_austin_4879,,,,32.185658000000004
0,9.0,10.0,bike-chattanooga,35.036904,-85.307269,Market St & E 14th St,2021-02-26T20:52:12.387000Z,Market St & E 14th St,1614372674.0,1.0,1.0,1305,,,,39.86443499999999
1,4.0,15.0,bike-chattanooga,35.052701,-85.309483,Market & E 4th Street,2021-02-26T20:52:12.389000Z,Market and E 4th,1614372703.0,1.0,1.0,1307,,,,39.846424
2,9.0,6.0,bike-chattanooga,35.063304,-85.315211,301 Manufacturers Rd,2021-02-26T20:52:12.396000Z,301 Manufacturers Rd,1614372450.0,1.0,1.0,1301,,,,39.83009299999999
3,8.0,11.0,bike-chattanooga,35.053928,-85.310925,215 Broad St,2021-02-26T20:52:12.398000Z,215 Broad St,1614372630.0,1.0,1.0,1303,,,,39.843755
4,7.0,8.0,bike-chattanooga,35.035217,-85.305187,E Main St & Rossville Ave,2021-02-26T20:52:12.399000Z,218 E Main St,1614372560.0,1.0,1.0,1341,,,,39.86820399999999
5,9.0,6.0,bike-chattanooga,35.047319,-85.305834,McCallie Ave & Lindsay St,2021-02-26T20:52:12.400000Z,McCallie Ave & Lindsay St,1614372530.0,1.0,1.0,1329,,,,39.85545499999999
6,8.0,7.0,bike-chattanooga,35.042774,-85.309331,Market St & W 12th St,2021-02-26T20:52:12.401000Z,Market St & W 12th St,1614372618.0,1.0,1.0,1309,,,,39.856503
7,8.0,7.0,bike-chattanooga,35.037381,-85.310411,W Main St & Cowart St,2021-02-26T20:52:12.403000Z,343 W Main St,1614372692.0,1.0,1.0,1347,,,,39.86081599999999
8,6.0,9.0,bike-chattanooga,35.054161,-85.305448,High St & E 2nd St,2021-02-26T20:52:12.412000Z,High St & E 2nd St,1614372601.0,1.0,1.0,1321,,,,39.848999
9,9.0,6.0,bike-chattanooga,35.037433,-85.315093,1826 Carter St,2021-02-26T20:52:12.413000Z,1826 Carter St,1614372613.0,1.0,1.0,1351,,,,39.856081999999994
10,10.0,9.0,bike-chattanooga,35.044973,-85.307015,ML King Blvd & Lindsay St,2021-02-26T20:52:12.415000Z,M.L. King Blvd & Lindsay St,1614372585.0,1.0,1.0,1327,,,,39.85661999999999
11,8.0,7.0,bike-chattanooga,35.049271,-85.312617,Pine St. & W. 6th St.,2021-02-26T20:52:12.416000Z,Pine St. & W. 6th St.,1614372454.0,1.0,1.0,1421,,,,39.84672
12,9.0,6.0,bike-chattanooga,35.053801,-85.32021,SpringHill Suites,2021-02-26T20:52:12.417000Z,495 Riverfront Pkwy,1614372469.0,1.0,1.0,1420,,,,39.834596999999995
13,7.0,12.0,bike-chattanooga,35.050405,-85.323739,Blue Goose Hollow,2021-02-26T20:52:12.418000Z,Blue Goose Hollow River Park Entrance,1614372465.0,1.0,1.0,1429,,,,39.834464
14,6.0,5.0,bike-chattanooga,35.044895,-85.309299,Miller Park,2021-02-26T20:52:12.426000Z,928 Market Street,1614372486.0,1.0,1.0,1325,,,,39.854414000000006
15,9.0,6.0,bike-chattanooga,35.050771,-85.305346,500 Georgia Ave,2021-02-26T20:52:12.427000Z,500 Georgia Ave,1614372645.0,1.0,1.0,1353,,,,39.852491
16,11.0,14.0,bike-chattanooga,35.096003,-85.254503,Hubert Fry Center Tennessee Riverpark,2021-02-26T20:52:12.452000Z,4310 Amnicola Hwy,1614372666.0,1.0,1.0,1373,,,,39.858101999999995
17,8.0,17.0,bike-chattanooga,35.06141,-85.306574,200 River St Outdoor Chattanooga,2021-02-26T20:52:12.473000Z,200 River St,1614372588.0,1.0,1.0,1299,,,,39.840624
18,6.0,5.0,bike-chattanooga,35.0426,-85.2821,Chattanooga Zoo,2021-02-26T20:52:12.474000Z,301 N Holtzclaw Ave,1614372480.0,1.0,1.0,1297,,,,39.883908
19,10.0,5.0,bike-chattanooga,35.049429,-85.310399,Broad St & W 6th St,2021-02-26T20:52:12.475000Z,Broad St & W 6th St,1614372557.0,1.0,1.0,1317,,,,39.84877999999999
20,1.0,0.0,bike-chattanooga,35.043367,-85.312762,Carter St & W 12th St,2021-02-26T20:52:12.476000Z,Carter St & W 12th St,1614372492.0,1.0,1.0,1315,,,,39.85247899999999
21,6.0,5.0,bike-chattanooga,35.05251,-85.310874,Broad St & W 4th St,2021-02-26T20:52:12.477000Z,401 Broad St,1614372474.0,1.0,1.0,1343,,,,39.845224
22,9.0,6.0,bike-chattanooga,35.045057,-85.296087,Oak St & Greenway,2021-02-26T20:52:12.486000Z,Oak St & University Greenway,1614372656.0,1.0,1.0,1335,,,,39.867464
23,6.0,9.0,bike-chattanooga,35.047574,-85.302739,Oak & Houston,2021-02-26T20:52:12.493000Z,Oak & Houston,1614372564.0,1.0,1.0,1337,,,,39.858295
24,7.0,8.0,bike-chattanooga,35.0342,-85.302458,400 East Main Street,2021-02-26T20:52:12.495000Z,400 East Main Street,1614372473.0,1.0,1.0,1331,,,,39.87195
25,10.0,12.0,bike-chattanooga,35.055687,-85.307813,100 Walnut St,2021-02-26T20:52:12.498000Z,100 Walnut St,1614372518.0,1.0,1.0,1319,,,,39.845108
26,7.0,8.0,bike-chattanooga,35.043639,-85.297988,800 E 8th St,2021-02-26T20:52:12.502000Z,800 E 8th St,1614372644.0,1.0,1.0,1333,,,,39.866980999999996
27,7.0,4.0,bike-chattanooga,35.066155,-85.309093,North Market,2021-02-26T20:52:12.512000Z,415 N. Market St,1614372540.0,1.0,1.0,1437,,,,39.83335999999999
28,9.0,10.0,bike-chattanooga,35.0631455,-85.3095094,Renaissance Park,2021-02-26T20:52:12.514000Z,20 Cherokee Blvd,1614372545.0,1.0,1.0,1435,,,,39.835953100000005
29,12.0,7.0,bike-chattanooga,35.019621,-85.324018,Middle St,2021-02-26T20:52:12.516000Z,Middle st,1614372499.0,1.0,1.0,1432,,,,39.864969
30,8.0,3.0,bike-chattanooga,35.047222,-85.313087,Westin Chattanooga,2021-02-26T20:52:12.518000Z,801 Pine Street,1614372479.0,1.0,1.0,1433,,,,39.848299000000004
31,12.0,7.0,bike-chattanooga,35.065416,-85.274031,Curtain Pole,2021-02-26T20:52:12.522000Z,Curtain Pole River Park Entrance,1614372542.0,1.0,1.0,1430,,,,39.869161000000005
32,9.0,6.0,bike-chattanooga,35.043238,-85.301804,MLK and University St,2021-02-26T20:52:12.529000Z,526 E MLK Blvd,1614372691.0,1.0,1.0,1431,,,,39.86356599999999
33,8.0,11.0,bike-chattanooga,35.0095361,-85.32854099999997,St Elmo,2021-02-26T20:52:12.544000Z,3917 St Elmo Avenue,1614372526.0,1.0,1.0,1438,,,,39.87053090000003
34,8.0,8.0,bike-chattanooga,35.0341,-85.2799,Tatum Park,2021-02-26T20:52:12.545000Z,1606 Bailey Ave,1614372463.0,1.0,1.0,1439,,,,39.894608
35,8.0,7.0,bike-chattanooga,35.044458,-85.310458,Broad St & W 10th St,2021-02-26T20:52:12.556000Z,Broad St & W 10th St,1614372479.0,1.0,1.0,1363,,,,39.853692
36,6.0,9.0,bike-chattanooga,35.040549,-85.309554,1216 Broad St,2021-02-26T20:52:12.564000Z,1216 Broad St,1614372613.0,1.0,1.0,1349,,,,39.858504999999994
37,9.0,6.0,bike-chattanooga,35.048285,-85.300237,Douglas St,2021-02-26T20:52:12.572000Z,Douglas St & Vine St,1614372551.0,1.0,1.0,1369,,,,39.860086
38,5.0,14.0,bike-chattanooga,35.056655,-85.310487,Chestnut St & Riverfront Pkwy,2021-02-26T20:52:12.478000Z,100 Riverfront Parkway,1614372465.0,1.0,1.0,1313,,,,39.841466000000004
39,8.0,9.0,bike-chattanooga,35.055582,-85.312797,Power Alley & Riverfront Pkwy,2021-02-26T20:52:12.510000Z,Power Alley & Riverfront Pkwy,1614372566.0,1.0,1.0,1323,,,,39.840228999999994
40,7.0,8.0,bike-chattanooga,35.047205,-85.310675,Broad St & W 8th St,2021-02-26T20:52:12.500000Z,735 Broad St,1614372661.0,1.0,1.0,1345,,,,39.850728
41,3.0,4.0,bike-chattanooga,35.040771,-85.308394,Market St & Cowart St,2021-02-26T20:52:12.479000Z,Market St & Cowart St,1614372691.0,1.0,1.0,1311,,,,39.85944299999999
0,6.0,0.0,biketown,45.50528481919783,-122.61088460683823,SE 50th at Division - Community Corral,2020-11-02T17:26:37.389000Z,"5008-5022 Southeast Division Street, Portland",1604338084.0,1.0,1.0,hub_4318,,,,7.907561426036061
1,6.0,0.0,biketown,45.51195046105081,-122.6141595840454,SE 47th at Hawthorne - Community Corral,2020-11-02T17:26:37.397000Z,"4638-4698 Southeast Hawthorne Boulevard, Portland",1604338084.0,1.0,1.0,hub_4319,,,,7.917502045096207
2,6.0,0.0,biketown,45.54827571135445,-122.61116355657578,NE 50th at Fremont - Community Corral,2020-11-02T17:26:37.399000Z,"5005 Northeast Fremont Street, Portland",1604338084.0,1.0,1.0,hub_4315,,,,7.950831267930226
3,6.0,0.0,biketown,45.55391700295009,-122.60207086801528,NE Cully at Skidmore - Community Corral,2020-11-02T17:26:37.400000Z,"5931 Northeast Skidmore Street, Portland, OR",1604338084.0,1.0,1.0,hub_4316,,,,7.947379870965364
4,6.0,0.0,biketown,45.516584889007284,-122.61603780090809,SE Belmont at 45th - Community Corral,2020-11-02T17:26:37.401000Z,"4505 Southeast Belmont Street, Portland",1604338084.0,1.0,1.0,hub_4312,,,,7.924014689915374
5,6.0,0.0,biketown,45.493336544791546,-122.6233971118927,SE 37th at Gladstone - Community Corral,2020-11-02T17:26:37.402000Z,"3816-3824 Southeast Gladstone Street, Portland",1604338084.0,1.0,1.0,hub_4313,,,,7.908125656684248
6,10.0,0.0,biketown,45.50280905672637,-122.65353977680206,SE Gideon at 12th Ave MAX station,2020-11-02T17:26:37.416000Z,"1201-1241 Southeast Gideon Street, Portland",1604338084.0,1.0,1.0,hub_1513,,,,7.947740833528435
7,17.0,0.0,biketown,45.52175423291714,-122.68107935786247,SW 10th at Harvey Milk,2020-11-02T17:26:37.417000Z,"404 Southwest 10th Avenue, Portland",1604338084.0,1.0,1.0,hub_1512,,,,7.994225590779614
8,18.0,0.0,biketown,45.50512503523317,-122.65336811542511,SE Elliott at Division,2020-11-02T17:26:37.419000Z,"2454-2498 Southeast Elliott Avenue, Portland",1604338084.0,1.0,1.0,hub_1515,,,,7.949885150658282
9,6.0,0.0,biketown,45.5035666478437,-122.63952791690826,SE Clinton at 26th,2020-11-02T17:26:37.420000Z,"2615 Southeast Clinton Street, Portland",1604338084.0,1.0,1.0,hub_1514,,,,7.934486564751964
10,14.0,0.0,biketown,45.516231760262826,-122.63606786727905,SE 29th at Belmont,2020-11-02T17:26:37.421000Z,"901-915 Southeast 29th Avenue, Portland",1604338084.0,1.0,1.0,hub_1517,,,,7.943691627541881
11,16.0,0.0,biketown,45.5114765684424,-122.66628563404082,SE Clay at Water,2020-11-02T17:26:37.422000Z,"1601-1799 Southeast Water Avenue, Portland",1604338084.0,1.0,1.0,hub_1516,,,,7.969154202483217
12,18.0,0.0,biketown,45.518446875178256,-122.65168502926826,SE 14th at Stark,2020-11-02T17:26:37.424000Z,"531-699 Southeast 14th Avenue, Portland",1604338084.0,1.0,1.0,hub_1519,,,,7.961523904446523
13,10.0,0.0,biketown,45.515152949700024,-122.66577601432802,SE Water at Taylor,2020-11-02T17:26:37.429000Z,"1028 Southeast Water Avenue, Portland",1604338084.0,1.0,1.0,hub_1518,,,,7.972320964028043
14,11.0,0.0,biketown,45.51645917253505,-122.61899828910826,SE Belmont at 42nd,2020-11-02T17:26:37.430000Z,"4220 Southeast Belmont Street, Portland",1604338084.0,1.0,1.0,hub_3929,,,,7.9268494616433145
15,18.0,0.0,biketown,45.523734525437575,-122.63720646500587,NE 28th at Couch - Community Corral,2020-11-02T17:26:37.435000Z,"108 Northeast 28th Avenue, Portland",1604338084.0,1.0,1.0,hub_2275,,,,7.952332990443452
16,14.0,0.0,biketown,45.52536699166144,-122.67254590988159,NW 2nd at Everett,2020-11-02T17:26:37.437000Z,"301-399 Northwest 2nd Avenue, Portland",1604338084.0,1.0,1.0,hub_1586,,,,7.989304901543036
